table,id,action,current_ar,current_en,target_ar,target_en
db_PLAYERS,P-0001,already_bilingual,"","","مجدي عبدالغني","Mjdy Abdalghny"
db_PLAYERS,P-0002,already_bilingual,"","","محمد حسام","Mhmd Hsam"
db_PLAYERS,P-0003,already_bilingual,"","","Clinton Njié","Clinton Njié"
db_PLAYERS,P-0004,already_bilingual,"","","إبراهيم سعيد","Ibrahym Sayd"
db_PLAYERS,P-0005,already_bilingual,"","","مشير عثمان","Mshyr Athman"
db_PLAYERS,P-0006,already_bilingual,"","","أشرف قاسم","Ashrf Qasm"
db_PLAYERS,P-0007,already_bilingual,"","","عبدالرحمن مسالم","Abdalrhmn Msalm"
db_PLAYERS,P-0008,already_bilingual,"","","حمزة عبدالمولى","Hmzh Abdalmwla"
db_PLAYERS,P-0009,already_bilingual,"","","محمد خيري","Mhmd Khyry"
db_PLAYERS,P-0010,already_bilingual,"","","كامل مسعود","Kaml Msawd"
db_PLAYERS,P-0011,already_bilingual,"","","فاروق السيد","Farwq Alsyd"
db_PLAYERS,P-0012,already_bilingual,"","","أحمد حسام","Ahmd Hsam"
db_PLAYERS,P-0015,already_bilingual,"","","أبو القاسم","Abw Alqasm"
db_PLAYERS,P-0016,already_bilingual,"","","حمزة علاء","Hmzh Ala"
db_PLAYERS,P-0018,already_bilingual,"","","محمد صبري","Mhmd Sbry"
db_PLAYERS,P-0019,already_bilingual,"","","محمد النني","Mhmd Alnny"
db_PLAYERS,P-0020,already_bilingual,"","","Oumed Okuri","Oumed Okuri"
db_PLAYERS,P-0022,already_bilingual,"","","حازم إبراهيم","Hazm Ibrahym"
db_PLAYERS,P-0023,already_bilingual,"","","سعيد الشيشيني","Sayd Alshyshyny"
db_PLAYERS,P-0024,already_bilingual,"","","جابر السوري","Jabr Alswry"
db_PLAYERS,P-0026,already_bilingual,"","","محمود مرعي","Mhmwd Mray"
db_PLAYERS,P-0027,already_bilingual,"","","وليد فتحي","Wlyd Fthy"
db_PLAYERS,P-0028,already_bilingual,"","","خميس دانيال","Khmys Danyal"
db_PLAYERS,P-0029,already_bilingual,"","","سيد عثمان","Syd Athman"
db_PLAYERS,P-0030,already_bilingual,"","","حسن آدم","Hsn Adm"
db_PLAYERS,P-0032,already_bilingual,"","","سيد صالح","Syd Salh"
db_PLAYERS,P-0033,already_bilingual,"","","عربي محمود","Arby Mhmwd"
db_PLAYERS,P-0034,already_bilingual,"","","Jesse Were","Jesse Were"
db_PLAYERS,P-0035,already_bilingual,"","","حسني عبدربه","Hsny Abdrbh"
db_PLAYERS,P-0037,already_bilingual,"","","كريم بنزيما","Krym Bnzyma"
db_PLAYERS,P-0038,already_bilingual,"","","نبيل محمود","Nbyl Mhmwd"
db_PLAYERS,P-0039,already_bilingual,"","","بلال مظهر","Blal Mzhr"
db_PLAYERS,P-0040,already_bilingual,"","","أحمد عبدالرؤوف","Ahmd Abdalrwwf"
db_PLAYERS,P-0041,already_bilingual,"","","جورج ماينا","Jwrj Mayna"
db_PLAYERS,P-0043,already_bilingual,"","","سلامة القصداوي","Slamh Alqsdawy"
db_PLAYERS,P-0044,already_bilingual,"","","Aimen Mahious","Aimen Mahious"
db_PLAYERS,P-0045,already_bilingual,"","","Ibrahima Diomande","Ibrahima Diomande"
db_PLAYERS,P-0047,already_bilingual,"","","محمد حديد","Mhmd Hdyd"
db_PLAYERS,P-0048,already_bilingual,"","","Issa Fofana","Issa Fofana"
db_PLAYERS,P-0049,already_bilingual,"","","محمد المغربي","Mhmd Almghrby"
db_PLAYERS,P-0050,already_bilingual,"","","حسن جبر","Hsn Jbr"
db_PLAYERS,P-0051,already_bilingual,"","","أحمد صابر","Ahmd Sabr"
db_PLAYERS,P-0053,already_bilingual,"","","علاء عبدالصادق","Ala Abdalsadq"
